2072,59652,53063,84
1802,59691,53074,69
2053,59712,53079,74
2076,59720,53080,39
2100,59715,53081,-235
2092,59718,53078,-276
2036,59719,53078,-16
2026,59717,53073,7
2089,59715,53072,-230
3288,59722,53068,-409
3186,59730,53070,-382
1972,59733,53068,-97
1936,59749,53079,373
1942,59761,53082,348
1896,59769,53083,324
1892,59781,53088,337
1956,59789,53093,-295
1960,59804,53090,-485
1972,59792,53083,-489
1972,59749,53072,-161
1944,59673,53056,-42
1994,59603,53031,-91
1928,59540,53010,275
1926,59508,53002,279
2028,59493,52996,244
2024,59475,52983,-122
2032,59458,52977,-110
2012,59442,52967,-53
2028,59431,52969,63
2033,59429,52961,33
2010,59423,52953,229
2026,59416,52957,227
2080,59415,52950,49
2072,59417,52953,-102
2080,59413,52950,-91
2046,59398,52945,-1
1960,59398,52941,24
1964,59405,52941,13
3656,59422,52947,55
3528,59427,52950,47
1992,59437,52951,51
1888,59450,52958,-69
1904,59471,52961,-67
1856,59501,52973,7
1944,59533,52984,11
1944,59560,52994,7
1904,59569,52991,1
1708,59550,52987,7
1964,59493,52971,-14
1964,59414,52938,-51
1979,59341,52915,-55
1952,59306,52902,4
2042,59294,52899,8
2152,59298,52900,9
1992,59302,52896,11
2000,59310,52893,24
2012,59315,52891,18
2044,59319,52893,9
2056,59346,52898,8
2047,59375,52906,-23
2160,59407,52917,3
2149,59422,52922,-3
2064,59428,52923,-35
2074,59439,52922,1
1960,59449,52928,-15
2112,59467,52930,-15
2090,59481,52935,-18
2116,59503,52937,50
2836,59522,52942,32
2736,59542,52948,26
2046,59570,52966,-23
1964,59599,52966,-2
1928,59624,52977,-19
1980,59650,52986,-23
1988,59671,52988,-39
1948,59698,52996,30
2040,59706,52998,21
2021,59683,52988,15
2010,59612,52963,-56
2016,59520,52932,-50
1984,59455,52906,-68
2072,59419,52897,10
2088,59419,52891,-3
1968,59418,52891,13
2048,59419,52887,33
2040,59429,52891,44
2088,59434,52892,18
2097,59441,52887,20
2040,59459,52894,-49
2096,59477,52903,-1
2112,59486,52901,-17
2060,59496,52903,38
2132,59493,52901,18
2132,59490,52901,31
2088,59498,52902,-30
2104,59503,52900,-28
2088,59514,52905,-42
2044,59536,52906,4
2032,59563,52918,-16
3496,59595,52929,41
2266,59614,52932,19
2232,59632,52939,47
1996,59655,52945,-24
1996,59669,52952,-11
1924,59693,52953,-39
1994,59707,52963,23
2004,59729,52965,12
2004,59748,52971,36
2012,59744,52970,7
1828,59708,52958,26
2052,59647,52938,-43
2040,59583,52916,-30
1968,59551,52904,-49
2040,59548,52900,4
2033,59555,52907,-9
2004,59567,52909,18
2028,59578,52908,-6
2020,59578,52906,8
2072,59585,52909,-38
2064,59602,52914,-37
2012,59615,52917,-1
2092,59624,52919,19
2200,59624,52914,16
2044,59626,52918,0
2120,59632,52915,-22
2096,59649,52921,-9
1932,59660,52929,-42
2108,59686,52934,-47
2044,59709,52946,9
2092,59731,52948,38
2080,59754,52958,38
2392,59774,52963,13
2528,59793,52972,-32
2400,59816,52975,-23
1960,59824,52978,-36
1968,59847,52985,-43
1888,59870,52992,2
1920,59888,52996,31
1920,59904,53003,25
1968,59920,53006,-2
1968,59924,53007,-21
1968,59893,52998,-10
2024,59848,52980,-25
2016,59798,52967,-35
1976,59761,52951,12
2008,59752,52953,50
2024,59753,52947,41
2048,59765,52947,5
2021,59766,52947,-13
2010,59761,52942,-2
2102,59770,52946,-17
2094,59782,52950,-26
2040,59793,52952,37
2084,59792,52948,26
2068,59799,52949,30
2080,59816,52958,-2
2032,59818,52955,-63
2046,59816,52957,-57
2148,59818,52953,13
2136,59836,52957,-12
2124,59851,52966,4
2112,59861,52964,11
2100,59875,52967,19
2044,59886,52966,-29
3600,59898,52974,-59
3488,59917,52979,-62
2096,59939,52987,-3
2068,59961,52991,-18
1946,59977,52995,40
1961,59990,53005,27
1952,60008,53007,40
2012,60025,53007,-18
1980,60033,53008,-45
1993,60027,53006,-50
2064,59988,53001,2
2062,59932,52972,-12
2044,59881,52952,46
2008,59844,52947,24
2109,59841,52939,47
2080,59849,52943,-26
2037,59855,52943,-23
2052,59855,52947,-32
2052,59856,52940,20
2040,59862,52939,5
2084,59865,52937,28
2072,59877,52939,-7
2056,59889,52946,5
2105,59898,52950,-39
1808,59902,52950,-17
2074,59904,52949,-29
2112,59903,52944,25
2074,59912,52946,19
2100,59927,52953,45
2022,59943,52957,0
2020,59960,52963,8
2088,59983,52973,-40
3428,60000,52980,-6
3348,60019,52983,-19
2032,60039,52990,30
2024,60052,52995,20
1968,60072,53005,31
1922,60089,53007,-30
1900,60103,53012,-27
1973,60115,53014,-36
1964,60119,53016,-4
1984,60120,53016,-25
2005,60091,53000,34
2000,60042,52987,29
1992,59994,52974,22
1930,59957,52955,-1
1932,59949,52958,0
2034,59954,52956,-25
1992,59967,52958,21
1993,59974,52958,8
1988,59981,52956,35
1988,59978,52958,29
2046,59988,52961,5
1992,60004,52962,-21
1998,60023,52967,-11
2064,60032,52972,-17
2056,60037,52969,23
2047,60031,52967,5
2032,60040,52968,35
2028,60042,52973,41
2090,60059,52976,-21
2042,60067,52976,-30
2056,60081,52981,-22
1992,60086,52983,-2
3864,60102,52983,24
3875,60105,52987,13
2096,60110,52990,40
2088,60119,52985,47
1984,60127,52992,0
1880,60144,52993,-37
1646,60158,53000,-31
1964,60164,53004,-20
1984,60170,53002,32
1994,60167,52998,26
1994,60127,52983,35
1996,60072,52965,42
2040,60008,52945,-14
1988,59959,52931,-51
2000,59935,52920,-51
2046,59931,52915,-19
2060,59925,52913,21
2056,59919,52912,17
1992,59921,52910,19
1964,59919,52907,33
2064,59930,52905,-4
2056,59942,52910,-46
2070,59950,52917,-50
1868,59949,52911,6
2088,59951,52915,40
2068,59953,52913,39
2064,59952,52914,2
2057,59954,52914,22
2136,59961,52915,-11
2172,59975,52917,-29
2084,59992,52925,-37
1976,60008,52927,11
3784,60029,52935,58
3728,60047,52941,54
2052,60065,52941,6
2040,60087,52952,27
2000,60103,52959,-36
1952,60122,52959,-62
1976,60137,52964,-66
1956,60158,52974,17
2056,60166,52978,38
2052,60168,52974,36
1984,60140,52959,-2
2022,60087,52945,3
2040,60027,52926,-49
2016,59973,52910,-18
2025,59938,52894,-33
1998,59931,52893,10
2074,59944,52894,23
2078,59948,52894,23
2016,59958,52892,4
2028,59959,52893,6
2076,59966,52895,-32
2082,59970,52889,-3
2100,59974,52891,-20
2064,59975,52893,14
2152,59976,52889,-10
2144,59967,52884,0
2084,59966,52888,267
2096,59974,52883,314
2096,59975,52886,242
2088,59989,52888,5
2092,60002,52894,0
2018,60019,52898,177
3088,60039,52905,-268
2992,60040,52907,-251
1984,60053,52902,-218
1996,60060,52910,-206
1957,60073,52917,23
1992,60078,52914,125
2001,60089,52915,104
1962,60095,52919,-68
2076,60109,52918,-94
2064,60098,52920,-62
2042,60057,52901,58
2156,59993,52882,132
2008,59920,52863,-9
2046,59866,52843,-72
2052,59846,52838,-92
1992,59850,52840,1
2056,59864,52843,-2
2092,59876,52850,4
2022,59888,52849,6
2032,59900,52851,5
2020,59919,52856,2
1916,59929,52864,-1
2092,59944,52867,7
2032,59954,52869,18
2116,59954,52864,1
2105,59948,52869,0
2100,59954,52863,19
2120,59955,52871,35
2136,59963,52871,-62
1972,59976,52875,-45
1968,59987,52882,-56
3724,60006,52883,3
2150,60021,52887,21
2120,60028,52885,21
1920,60046,52893,-16
1919,60064,52898,-2
1896,60078,52905,11
1952,60098,52912,-20
1954,60120,52921,-26
1948,60133,52922,-4
1968,60128,52921,39
1980,60079,52904,38
1992,60006,52880,-3
1990,59917,52851,15
1928,59849,52833,-38
2016,59825,52823,-23
2017,59817,52816,-28
1968,59827,52821,21
2012,59827,52820,27
2004,59832,52820,19
2064,59851,52826,-25
2068,59857,52824,-11
2000,59866,52831,-17
2072,59865,52825,-16
2070,59867,52824,-26
2026,59863,52823,12
2080,59866,52820,34
2064,59864,52821,30
2108,59872,52821,-10
2112,59885,52828,1
2056,59892,52829,-52
2040,59908,52835,18
2032,59923,52839,0
3344,59944,52848,27
2224,59960,52850,6
2203,59975,52855,11
1970,59989,52858,-11
1794,60009,52865,-14
1917,60026,52871,-33
1984,60039,52869,-15
1972,60051,52870,-25
2004,60064,52872,27
2032,60060,52873,17
2130,60012,52861,29
2040,59919,52829,-24
2044,59815,52795,-13
1992,59733,52766,-42
2052,59695,52757,11
2044,59684,52751,-6
2050,59691,52757,18
2034,59701,52755,-7
2028,59705,52754,7
2092,59713,52755,-19
2096,59730,52759,-9
1824,59741,52759,-8
2084,59747,52762,7
2056,59748,52760,-10
2096,59743,52758,55
2085,59734,52756,18
2064,59729,52752,31
2216,59728,52747,-30
2128,59739,52751,-27
2080,59750,52755,-4
2018,59767,52762,42
2002,59780,52767,28
3728,59802,52773,20
2154,59818,52779,0
2100,59837,52781,4
1994,59862,52790,-58
2000,59889,52797,-53
1944,59908,52804,2
1965,59923,52811,5
1960,59943,52816,8
2008,59950,52816,10
2000,59934,52810,-37
1992,59885,52794,-19
2040,59795,52764,-54
2021,59696,52730,-61
1976,59633,52707,-11
2000,59606,52705,17
2000,59611,52705,11
2068,59624,52706,18
2016,59636,52708,18
2016,59663,52712,18
2072,59679,52717,-8
2060,59705,52726,-15
2044,59722,52731,4
2020,59739,52738,61
2016,59756,52742,56
2104,59761,52743,15
2020,59759,52744,-28
2030,59772,52747,-12
2056,59781,52749,-23
2058,59786,52749,-32
2036,59799,52750,35
2828,59816,52761,51
2924,59837,52767,52
2368,59861,52773,-29
1924,59876,52776,-43
1834,59892,52783,-34
1944,59902,52787,-7
1954,59904,52789,-16
1956,59918,52789,11
1956,59938,52795,28
1973,59953,52801,26
2064,59945,52800,-14
1996,59934,52810,-46
1994,59822,52762,-44
2020,59745,52736,-7
2014,59692,52724,-20
2020,59688,52719,25
2008,59706,52729,10
2046,59736,52739,11
2080,59769,52753,-23
2046,59811,52766,-43
2064,59851,52776,-42
1882,59884,52789,-16
2072,59913,52800,-21
2056,59935,52802,32
2032,59950,52812,43
2033,59951,52811,40
2096,59949,52808,-25
2156,59955,52813,-30
2067,59968,52813,-23
2052,59972,52816,21
2042,59991,52823,11
1960,60010,52822,44
3840,60033,52830,4
3824,60044,52835,25
2128,60058,52845,41
1900,60077,52849,-18
1917,60091,52852,-24
1900,60109,52860,25
1888,60125,52861,15
1962,60145,52867,33
1888,60161,52872,-3
1919,60162,52876,20
2017,60138,52866,-43
1972,60067,52847,-31
1982,59997,52821,-44
1988,59939,52803,38
1980,59917,52798,32
2076,59917,52795,30
2008,59930,52801,0
1998,59949,52807,-59
2064,59955,52808,-45
2042,59972,52817,-3
2047,59992,52817,-20
2040,60006,52824,32
2032,60017,52826,28
2092,60032,52835,8
2082,60041,52831,-9
2098,60045,52836,2
2140,60043,52836,-33
2128,60057,52840,4
2132,60074,52845,-15
2064,60093,52851,52
2056,60112,52856,46
2034,60133,52866,32
3408,60143,52866,-15
3322,60161,52868,-9
2029,60179,52876,-23
1992,60198,52883,10
1993,60215,52886,-1
1924,60230,52892,33
1918,60246,52896,42
2040,60258,52900,2
2001,60253,52896,-21
2125,60241,52893,-8
2020,60196,52878,-28
2060,60124,52857,8
2056,60051,52831,1
2016,59996,52816,46
2012,59981,52809,35
2092,59982,52807,-26
2064,59981,52805,-40
2078,59994,52806,-28
2060,60007,52814,-23
1876,60017,52814,11
2130,60035,52821,6
2064,60057,52823,21
2041,60074,52833,24
2092,60076,52832,-23
2130,60063,52824,-61
2146,60062,52821,-65
2216,60064,52823,-44
2152,60068,52825,17
2154,60079,52828,12
2124,60101,52835,29
2117,60135,52847,36
2068,60160,52851,15
3276,60177,52867,-64
3120,60205,52871,-70
2046,60226,52882,-4
2040,60241,52883,-15
2016,60252,52888,49
1962,60265,52891,44
1967,60279,52892,51
2008,60291,52899,-38
2056,60299,52897,-38
2073,60295,52894,-41
2032,60252,52883,22
2020,60175,52861,8
2112,60111,52839,50
2020,60075,52825,28
2030,60062,52823,48
2064,60070,52826,-4
2060,60084,52830,-37
2072,60108,52834,-44
2028,60131,52845,16
2018,60149,52852,2
2130,60172,52857,65
2036,60194,52862,49
2046,60204,52865,62
2096,60204,52867,-30
2112,60202,52864,-21
2108,60203,52865,-36
2100,60208,52873,28
2092,60222,52875,20
2140,60235,52878,46
1976,60257,52880,1
1982,60278,52893,16
3684,60294,52895,-30
2176,60302,52901,-44
2010,60312,52900,-50
1936,60335,52907,19
1940,60350,52915,18
1968,60365,52920,21
1964,60382,52929,-15
1989,60394,52926,-11
2008,60404,52928,-31
2044,60388,52923,2
2054,60333,52905,-16
1988,60257,52880,19
1988,60186,52859,23
2034,60149,52849,13
2018,60144,52844,-24
2058,60156,52851,-15
2026,60175,52857,-33
2076,60185,52859,-11
2076,60194,52860,-26
1796,60210,52866,29
1994,60231,52869,28
2064,60253,52883,18
2028,60259,52882,-15
2044,60260,52878,-9
2040,60257,52880,-33
2188,60258,52879,5
2092,60259,52880,-7
2032,60264,52880,39
2046,60271,52882,37
2064,60283,52886,43
1980,60290,52886,-62
1993,60305,52892,-52
3592,60314,52896,-45
2056,60333,52899,-6
2054,60349,52904,-12
1916,60366,52909,77
1938,60379,52913,87
1942,60392,52918,14
1968,60406,52922,-31
1999,60421,52928,-30
1969,60422,52926,-26
2040,60392,52916,14
2032,60320,52890,14
1980,60239,52874,37
1987,60174,52847,39
2008,60143,52834,11
2072,60146,52837,-38
2066,60157,52841,-42
2004,60170,52845,-12
2072,60173,52843,27
2054,60186,52849,28
2040,60209,52853,28
2047,60219,52852,35
2074,60238,52867,-17
2068,60251,52868,-29
2072,60253,52865,-35
2084,60253,52869,25
2116,60255,52863,37
2112,60259,52871,34
2106,60275,52873,7
2105,60295,52876,18
2088,60315,52883,-23
2464,60338,52892,-12
2564,60358,52895,-18
2440,60371,52897,-8
1984,60391,52905,9
1980,60409,52911,5
1976,60430,52914,6
1986,60446,52921,20
1960,60453,52924,-8
2040,60465,52927,-40
2145,60477,52929,-41
2020,60457,52922,-3
2072,60406,52904,11
2052,60323,52878,8
2036,60234,52847,11
2060,60183,52829,18
2026,60165,52822,-11
2074,60171,52826,-11
2072,60173,52823,-26
2024,60184,52828,12
1836,60189,52832,29
2076,60196,52832,35
2064,60200,52830,6
2046,60207,52837,10
2017,60216,52839,-16
2140,60208,52832,-8
2136,60201,52829,-17
2144,60193,52827,14
2080,60189,52821,21
2068,60182,52821,37
2088,60185,52825,-9
2096,60189,52825,-2
2016,60192,52824,-26
2916,60202,52824,1
2780,60208,52830,-15
1952,60220,52831,24
1944,60228,52834,0
1936,60236,52837,15
1970,60252,52836,-11
1980,60265,52848,-2
1928,60276,52849,-32
2024,60277,52851,2
2016,60257,52847,-12
1976,60184,52820,36
1986,60089,52789,-1
1975,59995,52763,17
2004,59928,52738,-37
2021,59900,52729,-24
1960,59895,52731,-11
2020,59906,52727,24
2042,59916,52732,17
2016,59939,52740,29
2036,59951,52742,0
2016,59963,52748,9
2040,59973,52751,-38
2049,59978,52751,-32
2004,59978,52750,-29
2104,59974,52750,15
2092,59968,52752,13
2064,59972,52746,16
2060,59979,52753,-19
2045,59987,52755,-9
2016,60004,52755,-41
1997,60016,52766,-44
3848,60029,52772,0
2112,60044,52774,33
1906,60066,52779,37
1954,60085,52781,33
1898,60101,52786,-10
1893,60114,52795,-6
1996,60128,52796,-42
1992,60140,52804,-45
1936,60142,52804,0
2016,60107,52792,39
2010,60016,52762,39
2008,59901,52725,16
1980,59796,52695,-36
1972,59740,52676,-25
2044,59728,52672,-50
2088,59730,52672,-62
2024,59747,52679,4
2048,59755,52671,42
2042,59764,52675,39
1872,59774,52687,3
2040,59788,52684,-38
2014,59796,52685,-26
2100,59814,52695,-32
2090,59829,52695,-30
2088,59829,52700,18
2208,59824,52698,50
2092,59827,52697,42
2128,59836,52696,16
2016,59851,52703,-42
2013,59866,52710,-27
3232,59881,52714,-36
3326,59904,52719,-45
2306,59920,52727,2
1980,59940,52732,26
1988,59964,52741,33
2000,59983,52749,10
1944,60005,52748,-23
1952,60025,52757,-29
2024,60043,52763,-39
2044,60035,52760,-49
2046,59991,52748,19
2036,59890,52716,40
2036,59783,52680,57
2088,59701,52655,-2
2024,59662,52643,-41
2033,59661,52644,-48
2104,59679,52650,-4
2092,59692,52651,-15
2068,59701,52656,34
2068,59711,52654,0
2067,59732,52661,19
2124,59747,52666,-5
2044,59769,52673,-36
2052,59777,52674,-40
2160,59785,52675,3
2153,59787,52678,-10
2116,59782,52671,31
2096,59799,52684,-3
2082,59809,52684,7
2140,59833,52695,-32
2186,59859,52702,-31
2244,59888,52711,-33
2684,59921,52722,12
2604,59946,52734,7
2010,59988,52747,7
1938,60007,52751,-3
1940,60031,52761,9
2000,60048,52760,-18
2024,60067,52770,-9
2021,60094,52778,-22
2048,60101,52780,12
2148,60057,52766,5
2076,59969,52735,15
2026,59877,52708,6
2020,59816,52690,18
2072,59790,52684,-19
2020,59797,52686,4
2093,59818,52689,-10
2064,59832,52694,20
2066,59849,52700,10
2084,59870,52703,16
1904,59892,52710,7
2064,59915,52720,6
2092,59923,52720,-23
2120,59933,52724,-21
2128,59935,52726,-33
2096,59935,52722,9
2088,59922,52720,9
2186,59921,52721,1
2068,59942,52727,-20
2076,59968,52733,-3
2112,59984,52739,-27
2956,59993,52746,0
2876,60011,52743,-17
2025,60022,52750,25
1988,60040,52761,20
2016,60054,52761,11
1948,60072,52771,-38
1958,60088,52775,-24
2046,60111,52785,-21
2046,60116,52782,-5
2081,60107,52779,-12
2056,60056,52768,31
2040,59976,52743,30
2098,59892,52715,-7
2024,59837,52698,-20
2032,59821,52693,-11
2080,59828,52698,-2
2076,59844,52702,24
2082,59853,52704,19
2084,59861,52703,41
2072,59872,52707,49
2112,59881,52710,-1
2056,59896,52717,-27
2064,59900,52715,-30
2072,59902,52720,-8
2140,59897,52710,30
2148,59902,52716,25
2053,59908,52715,29
2049,59912,52720,42
2112,59924,52723,-26
2040,59938,52726,-45
2050,59963,52733,-51
2708,59975,52748,-10
2364,59984,52743,37
2344,60006,52754,33
1940,60027,52750,19
1812,60050,52768,38
1988,60084,52777,-8
1940,60103,52782,-21
1942,60123,52794,-37
1970,60138,52792,-31
2008,60137,52794,62
2117,60107,52788,63
1996,60042,52765,24
1985,59962,52744,21
2028,59897,52721,39
2024,59876,52714,-9
2033,59884,52717,-37
2018,59898,52721,-26
2080,59911,52723,-27
2088,59923,52730,40
2024,59936,52729,18
2032,59948,52733,0
1900,59953,52733,33
2044,59965,52741,0
2025,59968,52740,-7
2052,59977,52737,-41
2128,59973,52743,-24
2124,59974,52741,-42
2156,59972,52735,23
2064,59989,52741,22
2106,60005,52745,18
2024,60015,52749,-9
2016,60035,52757,4
3540,60052,52762,-47
2260,60063,52771,-17
2210,60078,52772,-32
1944,60091,52774,16
1964,60119,52785,13
1968,60135,52795,18
1976,60145,52794,-10
1992,60165,52803,-12
1976,60176,52803,-30
2093,60162,52801,5
2089,60112,52785,-13
2036,60042,52760,19
2050,59960,52740,19
2036,59921,52723,23
2044,59903,52713,-32
2047,59907,52716,-19
2024,59920,52724,-28
2064,59922,52720,5
2067,59927,52723,-17
2034,59937,52723,22
2049,59936,52723,13
2076,59941,52724,7
2088,59946,52736,-21
2088,59954,52729,-14
2028,59949,52727,-22
2074,59951,52730,5
2072,59955,52731,-6
2088,59961,52732,29
2100,59978,52738,34
2082,59999,52748,0
2104,60020,52755,-23
2100,60041,52760,-23
1968,60068,52768,-14
3656,60086,52775,10
3344,60104,52779,11
2148,60120,52785,32
2132,60135,52792,38
1954,60162,52800,4
1988,60181,52809,-22
1986,60199,52816,-31
1962,60218,52820,-12
2056,60228,52822,11
2047,60225,52821,6
2046,60191,52806,16
2068,60134,52794,30
2040,60058,52771,-6
2060,60011,52753,-36
2036,59991,52748,-42
2032,60009,52753,-4
2064,60031,52765,39
2064,60048,52763,30
1818,60065,52766,16
2042,60069,52770,34
2042,60086,52772,-10
2100,60098,52775,-21
2092,60107,52776,-27
2012,60105,52773,14
2176,60105,52778,18
2088,60106,52778,27
2112,60097,52776,-11
2112,60108,52782,6
2080,60128,52785,-20
2124,60134,52789,-23
2124,60153,52796,-29
1980,60172,52798,12
3552,60189,52811,13
3568,60197,52813,20
2216,60218,52818,0
2200,60223,52821,8
1936,60238,52829,-15
1973,60254,52828,0
2000,60262,52832,-14
1962,60272,52835,14
2054,60277,52834,13
2050,60281,52839,22
2104,60259,52829,0
2123,60203,52815,-4
2044,60123,52784,-19
2047,60063,52769,0
2046,60026,52759,-16
1996,60019,52756,32
2033,60026,52759,10
2028,60039,52767,30
2080,60057,52765,28
2080,60078,52773,4
2034,60093,52780,0
2080,60110,52788,12
2080,60127,52788,3
2047,60128,52791,30
2092,60124,52789,-8
2072,60128,52788,20
2088,60131,52793,-42
2086,60136,52795,-35
2024,60145,52793,-32
2108,60152,52800,8
2090,60172,52805,1
2548,60190,52811,7
2360,60203,52822,-11
2332,60217,52824,12
2008,60222,52821,-41
2012,60241,52828,-28
1936,60259,52840,-13
2012,60280,52841,14
2116,60297,52849,6
2024,60317,52859,15
2052,60321,52859,-14
2052,60303,52853,1
2100,60239,52834,-38
2100,60161,52809,-21
2020,60091,52785,-4
2074,60049,52778,35
2065,60048,52773,35
2036,60067,52787,42
1888,60099,52799,1
2056,60120,52801,7
2084,60147,52810,-22
2064,60159,52817,-12
2034,60180,52821,9
2072,60201,52825,29
2072,60212,52834,27
2176,60215,52836,31
2104,60203,52825,-6
2090,60207,52822,-3
2120,60206,52829,-34
2114,60214,52835,-36
2080,60229,52835,2
2112,60237,52840,28
2060,60255,52841,25
2972,60270,52846,3
2256,60285,52851,-26
2224,60304,52854,-10
1980,60316,52865,-46
1972,60327,52867,-45
1900,60347,52869,0
1952,60364,52877,25
1946,60388,52883,17
1978,60404,52889,-5
1986,60407,52890,-37
1980,60374,52880,-28
2036,60292,52854,-26
2031,60199,52825,-34
